ArtikelNr,groesse,ReferenzNr,Index,Bestand
0,-,1,130,13.0
5119,-,4,0,
5120,-,5,0,
5130,"195 cm",30,0,
5146,-,54,0,
5147,-,55,0,
5148,-,56,0,
5149,-,57,0,
5150,-,58,0,
5151,-,59,0,
5152,-,60,0,
5155,-,62,0,
5158,-,65,0,
5159,-,66,0,
5161,-,67,0,
5162,-,68,0,
5163,-,69,0,
5164,-,70,0,
5166,-,72,0,
5167,-,73,0,
5168,-,74,0,
5169,-,75,0,
5174,-,80,0,
26672,-,81,1,
5176,-,82,0,
5177,-,83,0,
5179,-,84,0,2.0
5180,-,85,0,
5181,-,86,0,3.0
5182,-,87,0,1.0
5190,-,94,0,
5191,-,95,0,
5199,-,103,0,
5200,-,104,0,
5201,-,105,0,
5228,"35 Liter",125,0,
5230,"45 Liter",126,0,
5265,-,159,0,3.0
5284,"198 Liter",174,0,
5296,-,186,0,
5300,-,190,0,
5301,-,191,0,
5302,-,192,0,
5303,-,193,0,
5304,-,194,0,
5329,"21 Liter",217,0,
5387,-,264,0,
5388,-,265,0,
5395,-,268,0,
5402,-,272,0,1.0
5404,M,274,0,
5405,L,276,0,
5406,XL,278,0,
5412,-,283,0,
5413,-,284,0,1.0
5416,-,286,0,1.0
5417,-,287,0,
5418,-,288,0,
5419,-,289,0,
5424,-,294,0,
5425,-,295,0,
5426,-,296,0,
5427,-,297,0,
5428,"6 Liter",299,0,
5430,S,306,0,
5430,XL,307,1,
5431,L,308,1,
5431,M,309,0,
5431,XL,312,2,
5436,"2 Personen",317,0,
5444,39-41,344,0,
5444,42-43,346,1,
5444,44-45,347,2,
5444,46-48,348,3,
5446,39-41,356,0,
5446,44-45,358,2,
5446,46-48,359,3,
5448,39-41,364,0,
5448,44-45,366,2,
5448,46-48,367,3,
5450,39-41,372,0,
5450,46-48,375,1,
5452,27-30,377,0,
5490,-,486,0,36.0
5491,-,487,0,95.0
5493,-,489,0,70.0
5496,-,492,0,4.0
5497,-,493,0,327.0
5500,-,495,0,
5502,-,496,0,6.0
5503,-,497,0,
5522,-,513,0,
5571,-,547,0,
5575,-,549,0,
5603,"195 cm",610,0,
5619,-,630,0,
5624,"44,0 EUR",641,0,
5636,-,711,0,
5637,-,712,0,
5638,-,713,0,
5640,-,714,0,
5641,-,715,0,
5643,-,717,0,
5657,-,732,0,
5667,-,742,0,
5668,-,743,0,
5693,"55 Liter",792,0,
5695,"75 Liter",795,0,
5712,-,815,0,
5715,S,818,0,
5721,XL,828,0,
5725,-,833,0,
5731,-,839,0,
5732,-,840,0,
5736,-,844,0,
5739,-,847,0,
5741,-,849,0,59.0
5742,-,851,0,6.0
5744,-,852,0,
5746,-,854,0,
5748,S,863,0,
5750,S,867,0,
5750,XL,868,1,
5767,M,911,0,
5812,"125 ml",992,0,
5813,"10,0 UK",993,6,1.0
5813,"11,0 UK",994,7,1.0
5813,"12,0 UK",995,8,1.0
5813,"13,0 UK",996,9,1.0
